,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,USSN0C10 Curncy,,,USSN0110 Curncy,,,USSN0A10 Curncy,,,USSN011 Curncy,,,USSN0C2 Curncy,,,USSN0210 Curncy,,
3/12/2021,85.707,41.43,26.15,82.1,22.62,11.65,86.9,62.79,83.7,89.4,78.75,57.77,83.921,86.28,35.55,80.8,17.6,12.31
2/12/2021,86.319,43.55,36.4,82.3,23.37,13.73,86.9,64.1,83.7,89.1,79.13,60.53,83.924,86.66,39.53,80.1,17.51,15.61
1/12/2021,84.642,43.42,42.86,81.7,23.35,15.4,91.2,62.84,77.72,81.1,76.5,41.03,82.345,117.87,52.64,80.6,17.3,16.13
30/11/2021,85.861,43.29,42.48,82,23.39,16.16,85,64.4,69.43,77,75.72,34.31,79.264,117.74,50.58,79.2,16.88,13.72
29/11/2021,85.233,43.35,49.62,81.3,23.33,20.09,84.7,64.89,69.92,77.7,75.77,40.14,79.26,121.18,58.83,79.2,16.95,15.75
26/11/2021,85.588,43.59,50.76,81.6,23.34,22.18,82.4,65.59,68.72,77.9,75.77,46.1,81,121.59,69.42,79.3,16.98,15.63
25/11/2021,82.2,44.68,47.44,80.6,23.58,23.56,81.8,67.59,74.01,79.5,81.96,45.29,79.272,161.48,71.45,78.3,16.81,17.75
24/11/2021,82.105,44.73,50.54,80.5,23.69,27.63,75.6,64.01,62.33,79.7,91.97,52.58,79.271,161.72,72.44,77.6,16.77,17.78
23/11/2021,82,44.87,50.55,80.8,23.67,27.4,77.2,63.64,64.22,79.2,92.06,53.02,77.862,164.05,71.8,77.4,16.77,17.79
22/11/2021,81.4,45.28,59.34,79.7,23.58,30.91,83.9,58.32,31.82,78.1,92.31,64.15,74.015,165.69,87.9,77.4,16.81,17.63
19/11/2021,76.92,42.22,52.29,78.2,23.05,29.82,83.9,58.31,48.99,74.1,93.17,59.97,70.298,168.9,83.48,78.5,16.2,23.99
18/11/2021,79.328,41.19,50.19,78.8,22.87,29.42,83.9,59.51,50.58,73.3,93.36,65.09,73.528,168.29,87.44,79.2,15.83,23.27
17/11/2021,80.277,40.97,48.27,79.4,22.76,28.19,81.9,59.99,68.08,74.2,93.22,63.46,73.528,168.12,87.92,78.6,15.76,25.79
16/11/2021,83.571,39.41,43.36,81,21.71,31.97,80.3,61.81,68.24,76.9,91.68,96.54,77.089,166.44,93.53,77.4,15.24,24.52
15/11/2021,85.1,39.06,41.93,82.4,20.77,29.63,80.3,63.63,69.83,80.1,89.88,92.38,82.5,164.37,91.76,77,15.5,25.79
12/11/2021,82.979,38.6,53.09,80.9,20.29,32.52,76.1,61.87,65.35,79.3,89.82,114.09,79.568,164.8,122.18,75.4,14.34,23
11/11/2021,80.434,37.76,51.72,78.8,19.01,29.68,74,61.53,64.25,75.4,89.68,109.61,77.857,164.8,121.29,74.7,14.14,22.66
10/11/2021,80.434,39.78,51.6,78.4,19.5,30.43,70.8,62.04,62.4,74,91.25,119.22,77.854,173.95,127.77,74.2,14.15,22.32
9/11/2021,75.779,35.7,41.25,76,17.28,25.4,68.5,61.86,60.58,68.7,89.62,112.97,70.17,172.76,116.82,73.6,14.15,21.78
8/11/2021,74.4,35.42,40.74,75.5,17.22,25.53,71.9,60.79,56.84,68.6,90.41,116.67,70.3,175.47,128.6,75.8,10.72,15.44
5/11/2021,71.796,34.81,35.2,74.4,16.93,24.24,72.7,61.1,61.36,64.9,89.62,113.68,65.181,174.85,124.08,76.1,10.75,15.27
4/11/2021,71.081,34.75,39.6,73.9,16.98,25.13,78,62.55,50.94,64.5,89.59,113.72,62.76,174.81,122.67,77.4,8.96,10.2
3/11/2021,72.92,33.87,39.88,76.2,14.23,19.49,76.3,62.36,51.9,73.1,78.54,92.35,67.202,173.49,186.12,77.1,8.99,10.3
2/11/2021,73.8,35.19,41.42,76.6,14.31,19.85,73.7,63.88,68.31,72.1,78.66,92.87,71.467,172.44,177.04,75.9,8.08,8.68
1/11/2021,77.34,33.07,30.71,78.2,12.4,14.38,72,64.16,69.38,80.7,66.97,55.01,82.076,165.27,159.07,75.8,8.13,8.96
29/10/2021,75.902,32.81,30.66,77.7,12.36,15.03,71,64.1,71.58,81.4,66.22,53.89,82.033,165.01,163.74,75.3,8.07,9.47
28/10/2021,75.114,33.03,41.42,76.6,11.88,15.84,73.5,63.93,74.34,75.1,65.4,67.03,76.602,166.37,238.69,75.1,8.28,10.21
27/10/2021,74.296,33.58,41.53,76.1,11.86,16.25,76.5,63.03,72.7,72.4,65.3,93.06,72.745,167.5,243.76,75.7,7.91,9.11
26/10/2021,73.279,33.52,41.52,75.5,11.76,16.49,76.2,63.49,72.74,69,64.83,96.27,66.1,166.22,244.72,75.1,7.83,8.54
25/10/2021,73.559,34.14,42.57,75.1,12.14,17.03,73.4,63.31,70.54,66.8,64.74,96.14,63.3,166.25,254.12,74.7,7.78,8.59
22/10/2021,76.633,31.42,34.4,76.4,10.92,12.88,76.2,66.53,67.21,67.9,63.79,90.38,64.5,165.99,251.08,74.6,7.93,9.4
21/10/2021,75.488,31.45,34.94,75.9,10.96,12.89,78.4,65.84,68.41,63.8,62.83,94.46,48.956,147.14,227.33,74.5,8.12,9.4
20/10/2021,73.999,31.1,33.44,75.1,10.83,12.47,72,63.02,52.08,61.7,62.7,98.4,47.667,147.13,227.87,73.7,7.9,7.68
19/10/2021,74.2,31.59,36.63,75,10.89,12.8,69.7,62.36,58.3,62.4,62.96,94.21,51.6,144.92,215.71,73.1,7.67,6.29
18/10/2021,75.155,31.43,36.35,75.3,10.74,12.29,72,62.97,61.03,62.6,62.62,93.35,53.4,144.04,213.78,73.3,7.61,7.6
15/10/2021,71.29,27.51,22.16,74,9.85,8.47,75.7,62.18,54.83,55.7,54.88,83.04,36.919,94.89,105.77,73.6,7.62,7.9
14/10/2021,71.5,27.93,22.61,73.2,9.52,6.42,73.4,62.01,52.56,47.8,34.72,42.17,37.4,95.35,104.52,73.9,7.55,7.68
13/10/2021,72.039,28.46,30.51,73.4,10.26,9.23,73.4,62.07,60.48,47.8,36.18,50.14,33.221,88.99,126.24,73.8,7.56,8.39
12/10/2021,73.2,28.26,29.45,73.8,10.38,8.86,74.7,63.22,60.93,45.9,35.34,47.17,35,87.53,127.74,74,7.45,8.78
11/10/2021,72.7,28.46,29.36,73.9,10.58,8.89,74.3,68.05,62.37,42.7,29.14,31.19,30.5,77.02,107.79,73.4,9.62,8.33
8/10/2021,73.478,28.3,33.37,73.9,10.57,10.51,77,67.34,56.35,42.8,29.8,31.38,31.362,76.58,107.84,73.3,9.8,8.95
7/10/2021,73.628,30.73,33.46,74.2,10.45,10.7,74.3,66.52,75.79,43.1,29.54,32.43,30.942,80.1,107.47,73.2,9.99,8.9
6/10/2021,71.52,29.53,29.27,73.7,14.22,11.51,70.3,64.49,69.1,42.1,35.1,34.7,30.3,79.74,105.75,73.1,10,8.93
5/10/2021,72.298,30.09,34.26,73.5,14.22,12.37,73.6,63.79,71.05,42,35.11,38.98,30.9,80.91,119.06,73.7,9.68,5.76
4/10/2021,71.7,30,37.93,73.4,14.48,12.47,74.8,63.65,70.4,41.3,35.01,39.07,31.1,81.74,119.08,73.3,9.58,5.78
1/10/2021,71.1,29.87,37.74,73.1,14.45,12.47,76.2,63.36,68.74,41.4,35.08,38.95,29.8,80.64,117.14,73.5,9.55,4.74
30/09/2021,73.8205,27.79,31.75,74,13.93,8.16,72.4,61.72,66.82,42.9,33.03,33.97,34.789,65.33,84.33,73,9.37,5.05
29/09/2021,74.036,27.79,32.97,73.9,13.98,7.82,70.3,61.18,68.6,42.3,32.94,35.81,32.6,62.63,93.22,72.4,9.07,6.75
28/09/2021,74.8,27.61,31.19,74.05,13.95,6.39,68.1,61.59,68.5,43.4,32.4,27.68,35.289,57.43,78.5,72,8.94,7.17
27/09/2021,72.7,26.26,30.59,73.3,13.66,7.07,66.3,61.41,69.13,43.2,32.92,26.8,35.3,57.46,79.54,71.4,9.19,6.39
24/09/2021,72.1645,28.5,31.72,72.7,13.57,10.18,72,61.39,66.31,42.5,32.98,27.08,35,57.82,80.69,71.2,9.15,6.97
23/09/2021,72.177,28.49,32.57,71.9,13.21,9.98,72.7,61.39,65.94,41.14,31.82,26.99,36.2,62.77,76.19,70.8,9.02,7.54
22/09/2021,69.687,29.03,28.12,71.1,12.96,9.35,68.6,60.54,65.41,39.7,31.27,23.72,33.35,58.36,66.94,70.7,9.12,8.18
21/09/2021,71.6,28.45,24.7,71.1,13.41,9.48,66.5,59.56,63.37,39,30.87,27.77,33.8,63.73,69.94,70.3,9.32,7.78
20/09/2021,72.1,29.45,24.99,70.9,13.66,9.7,66.8,59.59,67.66,38.4,30.81,27.64,32.9,63.15,69.31,70.3,9.32,7.87
17/09/2021,70.878,29.38,24.24,70.6,13.95,10.03,64.3,58.29,64.82,39.2,30.28,21.71,34.6,62.38,59.35,69.7,9.19,6.58
16/09/2021,69.2,28.19,22.57,70.2,14.96,9.92,65.8,58.05,64.93,38,28.91,18.57,31.431,56.45,39.14,70,9.18,6.37
15/09/2021,68.4,28.08,23.08,69.9,14.88,12.1,63.8,58.1,59.65,37.4,29.88,24.64,30.8,62.63,38.46,70.1,9.35,6.36
14/09/2021,66.7,27.72,14.79,69,14.48,9.79,65.3,60.07,67.67,36.6,36.07,22.79,29.4,62.82,24.88,69.9,9.35,6.36
13/09/2021,67.1,27.76,18.85,69.5,14.58,9.55,70.4,62.91,70.07,36.2,37.13,21.71,29.6,62.78,26.17,70.1,9.33,12.21
10/9/2021,67.6,27.75,18.85,69.6,15.02,9.89,69.8,62.81,69.18,36.2,37.12,26.9,29.8,63.02,26.22,69.53,8.98,10.47
9/9/2021,67.8,27.8,25.66,69.8,15.01,10.29,66,60.06,58.14,35.7,40.75,25.84,29.553,64.15,45.7,69.8,8.95,11.98
8/9/2021,68.9,31.13,25.44,69.9,15,19.27,66,60.16,60.69,36.3,40.45,40.89,30.5,64.43,45.1,69.8,8.97,12.28
7/9/2021,69.509,33.95,30.07,69.5,14.89,18.47,68.9,77.64,62.71,35.8,40.75,39.49,30.2,64.43,53.96,69.9,9.34,12.26
6/9/2021,68.7,33.74,28.84,69,15.27,19.03,71.6,76.73,60.19,35.5,41.22,40.16,30,64.84,59.23,70.2,9.33,12.28
3/9/2021,68.7,33.74,28.84,69,15.31,19.15,73.4,76.33,58.57,35.5,43.61,41.43,30,64.84,59.23,70.4,9.46,12.27
2/9/2021,69.757,33.75,28.62,69.8,15.79,18.65,74.1,78.39,59.29,36.4,44.03,39.53,30.9,65.16,57.74,70.4,9.46,12.37
1/9/2021,71.104,33.38,27.58,70.3,15.7,18.5,70.9,77.23,53.95,36.8,44.17,39.18,31.4,64.95,57.52,70.2,9.42,12.12
31/08/2021,71.943,33.39,27.43,70.7,15.62,18.5,77,73.18,36.88,36.8,44.53,40.31,31.8,64.81,57.59,71.6,7.64,5.67
30/08/2021,71,39.87,25.98,70.5,15.64,18.44,78.1,73.35,37.24,35.8,43.7,39.49,31.6,70.33,57.83,72,7.34,7.86
27/08/2021,71.363,39.84,25.98,70.2,15.58,18.07,77.2,74.41,59.48,35.7,43.9,39.37,31.735,70.85,57.79,71.5,7.18,6.62
26/08/2021,74.2,38.08,25.89,72.4,13.7,7.28,75.8,75.01,58.02,37.9,41.02,20.93,34.4,70.11,27.99,71.3,7.26,6.34
25/08/2021,75.1,38.3,25.43,72.5,13.68,8.7,73.5,79.32,62.3,37.9,41.82,25.43,34.6,74.99,60.45,71.5,7.27,7.06
24/08/2021,73.6,37.84,30.45,71.8,13.43,8.65,72.8,79.34,61.74,37.4,41.75,24.23,33.1,76.69,57.47,71.5,7.26,8.71
23/08/2021,73.3,37.95,31.02,71.7,13.43,9.28,72.65,85.12,61.71,36.9,43.64,23.21,31.9,76.53,70.95,71.6,7.29,8.68
20/08/2021,73.3,38.25,35.27,71.9,13.79,11.79,74,84.9,61.81,37.1,50.67,24.46,31.8,84.25,70.8,71.5,7.39,9.46
19/08/2021,74,38.71,37.42,72.1,13.76,16.1,73,84.9,60.97,37.1,52.14,25.08,31.5,85.15,74.85,71.5,8.03,9.52
18/08/2021,73.8,40.17,37.27,72.05,13.77,16.08,76.3,83.62,61.08,37.8,53.63,27.64,31,85.48,78.16,71.5,8.2,9.82
17/08/2021,73.6,40.39,37.91,71.9,13.78,16.64,76.3,83.62,61.08,36.9,55.08,44.88,30.6,88.03,93.46,72.3,7.27,6.13
16/08/2021,74,40.32,40.29,72.3,14.31,16.6,74.6,83.49,65.01,37.2,55.12,45.18,30.7,88.12,96.08,72.2,8.49,6.1
13/08/2021,76.925,43.54,33.41,72,14.3,17.39,81,79.03,70.63,37,58.01,45.23,29.9,89.29,95.66,72.5,8.51,5.23
12/8/2021,76.925,43.54,33.41,72.6,13.98,16.39,80.8,79.9,70.66,37.9,57.65,55.14,32.53,85.66,79.92,72.2,9.91,6.18
11/8/2021,77.21,43.86,33.25,73.5,15.3,13.84,77,81.05,65.73,37.8,66.14,55.78,31.7,94.59,84.85,71.6,9.66,5.14
10/8/2021,80.9,41.1,14.44,74.3,15.08,10.86,77,81.05,65.73,38.3,67.55,56.77,34.5,91.57,70.31,71.6,10.46,6.09
9/8/2021,80.3,41.11,35.55,73.6,15.09,15.05,77.1,82.62,66.35,37.9,67.69,59.07,34.5,91.74,71.18,71.1,10.25,5.65
6/8/2021,78.565,40.75,40.17,72.3,14.31,12.56,77,91.55,112.12,37.6,68.8,65.51,33.2,90.99,72.31,70.9,10.22,7.17
5/8/2021,77.33,40.7,40.34,72.35,14.71,14.9,76.23,91.55,112.15,36.5,68.06,65.45,31.9,90.25,71.71,70.5,11.19,6.76
4/8/2021,77.33,40.81,40.53,71.8,14.58,14.56,76.23,91.55,112.15,34,65.3,48.7,29.1,85.27,49.58,70.3,12.56,6.67
3/8/2021,76.6,41.99,40.3,71.3,14.45,14.29,76.5,91.53,112.27,32.9,64.25,40.8,27.7,83.91,37.93,70.18,14.39,8.4
2/8/2021,75,44.61,38.9,70.5,15.79,12.89,80,90.23,114.68,32.75,67.68,38.89,27.5,86.41,55.52,70.3,14.4,8.17
30/07/2021,74.88,45,55.88,70.6,17.88,12.89,85,87.81,106.93,34.57,69.64,32.59,28,90.24,61.24,70.5,14.39,7.94
29/07/2021,74.92,46.06,55.81,70.66,21.32,17.12,78,84.83,98.74,34.8,155.85,32.81,29.1,201.52,67.97,70.4,14.37,8.38
28/07/2021,74.8,47.46,56.31,70.65,21.32,17.11,78,84.83,98.74,35.5,155.6,39.71,30.2,208.55,88.1,69.8,14.07,7.49
27/07/2021,78.76,44.44,47.64,71.7,20.85,14.19,78,86.16,100.05,36.3,155.29,39.29,30.5,214.07,94.2,69.5,13.98,7.15
26/07/2021,75.6,42.96,43.32,72.1,20.78,13.29,79.1,91.64,100.91,38.1,154.2,39.34,31.3,213.75,94.98,69.9,14.29,6.54
23/07/2021,75.6,42.96,43.32,71,20.25,13.07,80.7,93.23,99.32,37,154.18,60.91,30.2,213.71,115.28,69.9,14.4,6.88
22/07/2021,76.5,42.79,42.33,70.75,20.26,13.04,80.7,93.23,99.32,37.6,153.94,64.95,30.2,213.67,118.01,69.9,14.86,8.95
21/07/2021,75.82,43.31,43.87,70.9,20.47,12.94,68.6,80.25,70.01,38.35,153.7,67.9,30.25,213.96,119.08,69.2,14.49,8.09
20/07/2021,75.82,43.99,44.91,71.2,20.6,12.49,68.1,80.29,70.32,38.8,154.59,73.53,33.09,212.59,114.3,69.1,15.08,8.07
19/07/2021,76.76,44.73,46.09,71.3,20.86,14.2,68.5,83.81,91.67,39.5,154.29,72.92,32.2,212.94,113.69,69.2,15.84,10.81
16/07/2021,71.45,39.76,29.13,69.9,20,10.63,72.6,82.26,84.46,40.6,154.46,79.82,34.65,211.4,110.28,69.4,15.94,11.55
15/07/2021,71.3,39.89,29.23,69.8,20.53,10.67,72.8,82.29,84.23,39.6,154.6,78.51,31.7,210.35,98.35,69.6,16.32,14.38
14/07/2021,71.915,44.18,47.97,69.8,22.23,17.13,71.3,83.21,83.97,40.2,155.29,98.13,33.9,209.75,118.49,69.5,16.53,14.48
13/07/2021,73.2,43.95,48.09,69.7,22.35,18.36,72.8,82.87,82.09,42.2,154.62,99.17,35.2,210.68,118.18,69.2,16.4,15.28
12/7/2021,72.97,43.95,48.1,70.4,22.39,17.71,69.6,82.2,79.72,38.9,153.54,86.68,31.4,209.07,95.57,69.4,16.77,15.37
9/7/2021,72.2,43.87,47.9,70.2,22.43,17.89,67,81.44,79.89,37.4,153.49,86.53,30.1,208.95,90.72,68.6,16.12,12.82
8/7/2021,73.33,43.56,46.75,70,22.39,18.8,61,76.29,61.35,35.7,153.09,79.74,29.2,208.88,88.57,68.9,16.2,14.5
7/7/2021,71.7,43.12,45.62,69.8,22.73,18.7,61,76.5,62.81,37.4,152.43,81.87,31.3,207.57,83.75,68.9,16.15,16.07
6/7/2021,69.1,41.68,40.99,68.7,21.99,15.82,67.2,71.31,90.04,37.8,152.56,81.89,30.9,207.85,84.57,69.8,15.92,22.18
5/7/2021,68,41.54,41.91,68.7,22.12,19.38,67.5,71.88,89.96,40.2,152.08,81.86,32.7,207.75,88.77,69.3,15.87,21.33
2/7/2021,68,42.1,48.1,68.7,22.12,22.74,66.6,74.21,89.76,40.2,152.48,94.34,32.7,208.02,101.97,70.4,15.47,20.34
1/7/2021,72.6,37.4,38.88,70.3,21.34,31.47,66.1,74.32,89.69,44.9,148.09,248.97,37.53,203.38,323.82,70.2,15.81,20.13
30/06/2021,71.1,37.17,41.74,69.5,20.9,30.5,65.2,74.38,89.36,43.1,147.88,251.15,36.9,203.59,348.97,71.1,15.54,19.33
29/06/2021,71,37.79,47.48,69.9,20.89,30.49,65,77.66,90.97,42.4,147.88,252.21,36.3,203.87,354.05,71.1,15.52,19.33
28/06/2021,71,38.46,47.48,69.5,20.85,30.15,67.1,77.88,92.79,40.8,148.68,253.99,35.9,203.88,354.67,71.2,15.51,20.32
25/06/2021,70.9,38.48,47.49,70.2,20.77,29.87,71.1,76.36,104.12,41.1,148.58,253.45,35.3,203.9,355.54,72.4,14.99,18.39
24/06/2021,71.44,38.62,47.42,70.3,20.81,30.05,74.8,74.77,102.18,39.6,148.39,254.79,35.5,203.8,354.63,73.9,14.58,14.01
23/06/2021,70.5,39.5,48.78,70.3,20.86,30.65,65.5,63.92,77.04,39.6,148.52,255.05,34.8,204.03,357.36,72.3,13,8.94
22/06/2021,72.7,38.85,46.86,72,19.94,27.75,65.5,64.48,77.25,37.1,148.57,259.86,32.7,204.73,362.58,72.3,13.24,12.77
21/06/2021,76.66,36.69,32.63,74.1,18.91,21.09,65.5,66.91,89.69,40.1,148.4,251.3,35.9,205.21,355.92,72.3,13.63,15.9
18/06/2021,75.22,36.71,32.61,71.4,15.21,9.55,65.5,67.1,90.73,25.3,53.78,30.83,19.8,101.52,142.17,72.3,13.87,16.22
17/06/2021,72.8,35.33,32.77,71.4,15.42,13.55,65.5,67.5,91.13,25.3,53.94,30.51,23.51,86.77,105.07,72.3,13.93,17.36
16/06/2021,70,36,46.14,71.4,16.17,20.91,63.5,67.07,93.47,25.3,64.56,34.85,19.8,88.34,34.99,72.3,13.93,17.84
15/06/2021,70,37.62,46.71,71.4,16.32,21.52,59.9,64.22,86.41,25.3,64.71,50.3,19.8,88.99,72.33,71.6,13.47,15.99
14/06/2021,70,37.67,46.71,71.4,16.34,21.99,66,58.88,68.59,25.3,64.8,50.36,19.8,89.24,73.69,72.1,13.41,16.69
11/6/2021,69.2,37.51,46.27,71.1,16.23,21.63,61.5,55.03,54.39,25.2,65.09,49.71,19.6,89.78,72.51,71.3,12.99,12.99
10/6/2021,67.41,36.44,43.38,70.4,15.77,20.08,61,55.92,53.82,25.3,66.29,49.95,20.1,89.63,72.55,71.3,13.21,12
9/6/2021,68.9,36.05,42.15,71,15.96,20.82,61.3,57.07,54.16,26.5,66.22,45.88,21.2,88.28,71.81,72.4,12.82,11.7
8/6/2021,66.5,34.65,36.18,70.2,15.62,18.1,66.2,53.13,40.29,26.2,67.35,51.84,21.8,89.51,71.27,73.7,11.99,10.33
7/6/2021,65.68,34.9,34.85,70,15.8,16.9,68,53.73,40.97,27.1,68.01,55.26,22.06,91.15,76.56,73.4,12.1,11.15
4/6/2021,66.2,35.58,35.98,71.1,15.61,16.53,67.2,54.74,52.42,27.4,69.41,56.31,22.4,92.82,77.18,74.4,11.67,10.21
3/6/2021,70.4,30.91,17.9,73.2,13.2,11.61,64.1,52.84,43.12,28.6,69.53,52.84,23.5,93.32,74.98,75.3,11.3,11.81
2/6/2021,69.5,31.14,16.15,72.7,13.14,9.94,64.1,54.16,42.79,27.1,68.42,39.52,21.3,89.48,41.42,75.3,11.58,11.68
1/6/2021,69.49,31.82,17.86,73.5,13.08,9.61,65.4,55.39,62.48,27.6,69.88,40.43,22.1,90.64,52.81,76.4,10.7,9.48
31/05/2021,69.6,32.56,24.51,74.1,13.21,10.78,65.3,56.92,64.65,28,71.55,57.93,22.3,92.72,55.45,76.8,10.81,9.34
28/05/2021,69.6,33.34,24.12,74.1,13.54,10.78,66.4,58.51,65.29,28,73.51,57.95,22.3,95.01,55.74,77.5,10.5,8.86
27/05/2021,69.14,33.99,25.02,75.3,12.74,8.17,67.9,60,65.08,28.6,75.24,56.71,21.5,96.51,52.06,77.8,10.67,11.26
26/05/2021,69.3,34.92,28.23,75.5,13.09,9.02,66.1,60.51,67.51,27.5,75.76,53.1,22,98.8,51.56,78,10.92,11.73
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
